Liquefied?,Vertical effective Stress (kPa),Site amax (g),Magnitude,Fines content (%),CPT qc (MPa)
Yes,68,0.2,8.1,10,4.791462522
Yes,61,0.2,8.1,30,1.503689061
Yes,39,0.2,8.1,27,0.815850616
Yes,48,0.4,7,0,6.895031435
Yes,104,0.35,7,4,13.13587909
Yes,41,0.09,7.6,5,2.078628996
Yes,72,0.16,7.6,2,4.751130058
Yes,43,0.16,7.6,8,6.094884014
Yes,53,0.162,7.6,5,3.428382944
No,81,0.18,7.6,2,10.89400528
No,109,0.18,7.6,2,11.27793499
Yes,100,0.16,7.6,2,5.279033398
Yes,47,0.16,7.6,0,5.606632635
No,79,0.18,7.6,0,8.51923645
Yes,39,0.16,7.6,10,4.090272885
No,67,0.18,7.6,0,19.11613087
No,45,0.242,7.5,36,6.100504945
Yes,38,0.213,8.3,3,8.436612698
No,76,0.23,8.3,5,18.04923808
No,45,0.23,8.3,5,11.76012679
Yes,42,0.23,8.3,5,4.652919731
Yes,45,0.2,8.3,20,3.154788665
Yes,96,0.45,6.61,55,1.2625288
Yes,96,0.45,6.61,50,2.761526274
Yes,89,0.2,7,67,2.591061689
No,92,0.2,7,50,4.487148266
Yes,85,0.3,7,48,4.920377262
Yes,92,0.3,7,5,4.335726619
Yes,86,0.135,7.5,3,3.55726948
No,71,0.135,7.5,3,10.17379071
Yes,54,0.13,7.6,12,5.074058027
Yes,53,0.2,7.6,12,4.532805102
No,38,0.22,7.6,5,11.18166626
Yes,32,0.22,7.6,3,3.89525259
Yes,59,0.35,7.6,20,8.716971482
No,75,0.5,7.6,10,15.16522321
Yes,67,0.2,7.6,20,4.643745629
Yes,106,0.2,7.5,20,2.732185091
Yes,156,0.2,7.5,5,3.295969317
No,39,0.2,7.5,4,7.626517559
No,44,0.2,7.5,3,6.873660955
Yes,56,0.2,7.5,50,2.286110399
No,67,0.1,6.5,0,7.733774934
No,71,0.14,6.5,20,4.909102522
No,45,0.12,6.5,10,2.432438186
No,59,0.14,6.5,5,7.785180103
No,79,0.14,6.5,3,7.932382411
Yes,30,0.12,6.5,5,4.726352835
No,42,0.12,6.5,4,5.069128722
No,85,0.14,6.5,5,5.244898302
No,60,0.14,6.5,10,3.834823954
No,56,0.12,6.5,10,3.155353368
No,63,0.12,6.5,60,0.759616259
No,47,0.12,6.5,0,8.823302938
Yes,67,0.2,7.7,0,7.201028004
Yes,71,0.24,7.7,20,6.70663295
Yes,45,0.2,7.7,10,2.432438186
No,57,0.2,7.7,10,9.243265108
Yes,59,0.28,7.7,5,5.72890616
No,73,0.28,7.7,0,11.1397699
No,65,0.24,7.7,26,7.473147289
Yes,79,0.24,7.7,3,5.852963182
No,39,0.32,7.7,4,13.83449714
Yes,30,0.32,7.7,5,4.726352835
Yes,42,0.32,7.7,4,5.069128722
Yes,85,0.24,7.7,5,5.244898302
Yes,60,0.24,7.7,10,3.834823954
Yes,56,0.24,7.7,10,3.155353368
No,78,0.24,7.7,17,11.30786429
Yes,63,0.24,7.7,60,0.759616259
Yes,47,0.24,7.7,0,8.823302938
No,70,0.24,7.7,0,16.12869643
No,42,0.78,6.53,12,15.30793213
Yes,50,0.78,6.53,18,1.174418073
No,56,0.78,6.53,25,6.385342839
Yes,32,0.51,6.53,31,1.862870048
Yes,50,0.2,6.53,64,0.938803467
No,38,0.2,6.53,30,5.991185874
Yes,20,0.24,6.53,80,1.397693916
No,54,0.17,6.53,30,3.940136822
No,57,0.095,6,13,3.306929572
No,123,0.095,6,27,1.787233541
No,32,0.09,5.9,31,1.862870048
Yes,50,0.2,5.9,64,0.938803467
No,38,0.2,5.9,30,5.991185874
No,20,0.21,5.9,80,1.397693916
No,45,0.21,5.9,18,6.722374624
Yes,54,0.26,5.9,30,3.940136822
No,35,0.168,6.9,5,8.570957361
No,37,0.15,6.8,5,2.255533591
No,77,0.15,6.8,0,10.72384625
Yes,42,0.111,6.8,0,6.722036081
Yes,38,0.116,7.7,3,8.436612698
Yes,37,0.2,7.7,5,2.255533591
Yes,53,0.227,7.7,1,6.34024227
Yes,38,0.25,7.7,1,8.28321974
Yes,42,0.283,7.7,0,6.722036081
No,41,0.205,7.7,3,9.428053097
No,41,0.205,7.7,3,6.957600681
